c0,c1
NO3 (uM),Mu (d-1)
3.9,2.50E-01
5.90E-01,2.00E-01
4.3,2.00E-01
9.90E-01,1.70E-01
7.70E-01,1.40E-01
3.10E-01,3.30E-02
5.10E-01,1.40E-02
7.10E-01,-5.00E-03
6.80E-01,-6.30E-02
3.6,-7.60E-02
20.9,3.70E-01
18.6,3.40E-01
19.2,2.70E-01
42.2,4.10E-01
41,3.30E-01
43.4,2.80E-01
61.5,5.40E-01
62.1,4.60E-01
61.9,4.20E-01
87.2,5.50E-01
87.6,5.30E-01
87.4,4.70E-01
76.3,4.20E-01
76.2,3.20E-01
75.8,2.70E-01
99.3,4.40E-01
1.00E+02,4.00E-01
98.8,3.80E-01
94.9,3.80E-01
94.4,3.70E-01
94,2.50E-01
